iter	Logloss
0	0.6194967656
1	0.5630815335
2	0.5196484924
3	0.4858713655
4	0.4587538748
5	0.4367346884
6	0.4200604428
7	0.4069090261
8	0.3963205625
9	0.3883367872
10	0.3814751402
11	0.3759996197
12	0.3720037928
13	0.3680652452
14	0.3650535958
15	0.3631558162
16	0.3605881082
17	0.3583621067
18	0.3564634413
19	0.3552086853
20	0.3540295065
21	0.3534685381
22	0.352381511
23	0.3516318958
24	0.3504431622
25	0.3497308084
26	0.3490864901
27	0.348307337
28	0.3470632503
29	0.3462164236
30	0.3448776153
31	0.3437228526
32	0.3428465747
33	0.3421169157
34	0.3415468654
35	0.3410599217
36	0.3404500585
37	0.3392508234
38	0.3383976806
39	0.3378760725
40	0.3374060161
41	0.3370176662
42	0.3362946376
43	0.3358968869
44	0.3356164542
45	0.335353776
46	0.33423158
47	0.3339273739
48	0.3336406932
49	0.3328036816
50	0.3320067866
51	0.3317389214
52	0.3309385179
53	0.3303579387
54	0.3294960472
55	0.3286695177
56	0.3282523769
57	0.327837023
58	0.3273776595
59	0.3270494199
60	0.3268756051
61	0.3263618077
62	0.3258174825
63	0.3252861787
64	0.3246916908
65	0.3242966697
66	0.3238894268
67	0.3235232598
68	0.3230655152
69	0.3227245997
70	0.3222488006
71	0.3219861062
72	0.3215228239
73	0.3208379427
74	0.3204360773
75	0.3203299031
76	0.3199439198
77	0.3194084855
78	0.3190362786
79	0.3187311124
80	0.3181592119
81	0.3178417182
82	0.3176306598
83	0.3166338547
84	0.3162006077
85	0.3157768804
86	0.3154605367
87	0.3148498091
88	0.3144471221
89	0.313854615
90	0.3136337327
91	0.3133468016
92	0.3130678136
93	0.3126734
94	0.3120355039
95	0.3116857365
96	0.310993512
97	0.310719675
98	0.3104335294
99	0.3097088369
100	0.3089895752
101	0.3086171593
102	0.3080522681
103	0.3075355278
104	0.3072365313
105	0.3068903281
106	0.3066721129
107	0.3062540286
108	0.3060235392
109	0.3056498421
110	0.3054005471
111	0.3052282367
112	0.305044238
113	0.3048360073
114	0.3045655398
115	0.3039049154
116	0.3036952463
117	0.3032807301
118	0.3030707875
119	0.3027540718
120	0.3021755601
121	0.3019050472
122	0.3012784454
123	0.300905152
124	0.3004076088
125	0.3001853078
126	0.2997031342
127	0.2994455411
128	0.2990580181
129	0.2985242374
130	0.2983080224
131	0.2980142308
132	0.2975815824
133	0.2973442391
134	0.2970947784
135	0.2960071071
136	0.2955329008
137	0.2951816187
138	0.2947140727
139	0.2943684788
140	0.2941353845
141	0.293356875
142	0.2930439175
143	0.2927396067
144	0.2923884238
145	0.2921105924
146	0.2916837354
147	0.2914207155
148	0.2910398202
149	0.2906320274
150	0.2904551303
151	0.2901713538
152	0.2895812804
153	0.289263922
154	0.2886869714
155	0.2883486803
156	0.2880317965
157	0.287370475
158	0.2872621616
159	0.2870319688
160	0.2865496679
161	0.2859453499
162	0.2856289841
163	0.2854177632
164	0.2852239058
165	0.2850058169
166	0.284748026
167	0.2841524529
168	0.2840652628
169	0.2838760344
170	0.2835789682
171	0.2832965579
172	0.2830175382
173	0.2828498762
174	0.2826243332
175	0.2823813775
176	0.2818364837
177	0.2816758933
178	0.2815368886
179	0.2811957071
180	0.280689497
181	0.2800676233
182	0.2795956848
183	0.279259929
184	0.2791019714
185	0.2784788476
186	0.2779672309
187	0.2775474578
188	0.2773671278
189	0.2769753491
190	0.2766948166
191	0.2763005247
192	0.2760769871
193	0.2754637604
194	0.2749060528
195	0.2743580226
196	0.2740702506
197	0.2737417819
198	0.2731918752
199	0.2729675127
200	0.2723456858
201	0.2719481817
202	0.2718272838
203	0.2715303464
204	0.2713454482
205	0.2711445466
206	0.2707759893
207	0.2706556562
208	0.2704588516
209	0.2703480393
210	0.2699736081
211	0.2694327065
212	0.2689873446
213	0.2688405836
214	0.2686755615
215	0.2684948739
216	0.2683772608
217	0.2681262286
218	0.267863324
219	0.2673855616
220	0.2671750984
221	0.2666911788
222	0.2664835591
223	0.26594681
224	0.2656361146
225	0.2651902769
226	0.2648010516
227	0.264525814
228	0.2643044179
229	0.2639105674
230	0.2635982976
231	0.2634654737
232	0.263376075
233	0.2629716219
234	0.2626726937
235	0.2624910705
236	0.2622859301
237	0.2619339878
238	0.2616404255
239	0.2614043483
240	0.2609012063
241	0.2606933617
242	0.2603072662
243	0.2601983286
244	0.2601035264
245	0.2599906962
246	0.2595852592
247	0.2591022845
248	0.2588847013
249	0.2586882865
250	0.258491437
251	0.2583552236
252	0.2580080082
253	0.2578363604
254	0.2576945368
255	0.2574950074
256	0.2574117375
257	0.2572596706
258	0.2569011104
259	0.2566209169
260	0.2564434888
261	0.2561549957
262	0.2558756847
263	0.2556563194
264	0.2554022913
265	0.2548833974
266	0.2546133339
267	0.2545602037
268	0.2544337444
269	0.2543187432
270	0.2541702224
271	0.2536527067
272	0.2532287975
273	0.2529317644
274	0.252867273
275	0.2526782007
276	0.2525445822
277	0.2524064645
278	0.2521467926
279	0.2519243684
280	0.2515615166
281	0.2512150113
282	0.2509100005
283	0.2507246012
284	0.2504030093
285	0.2501733009
286	0.2497781421
287	0.2494357728
288	0.249217959
