iter	Logloss
289	0.2489685608
290	0.2485974478
291	0.2482099847
292	0.2478666502
293	0.2473184021
294	0.2472063939
295	0.2469422434
296	0.2468200148
297	0.2466813571
298	0.2465614169
299	0.2463197453
300	0.2460471068
301	0.2458967534
302	0.2455795134
303	0.2453338163
304	0.245164127
305	0.2450120786
306	0.2447063999
307	0.2445820253
308	0.2445295579
309	0.2442955117
310	0.2442313765
311	0.2438681395
312	0.2436448646
313	0.2435635341
314	0.2433523038
315	0.2431956012
316	0.2428705228
317	0.2425266308
318	0.2420304112
319	0.24164788
320	0.241411505
321	0.2410165993
322	0.2405607468
323	0.240375509
324	0.2401753293
325	0.240028972
326	0.2398385969
327	0.2394821652
328	0.2394598134
329	0.2393592575
330	0.2389746392
331	0.2387516563
332	0.2383865733
333	0.2382194725
334	0.2380838904
335	0.2378729821
336	0.2375770431
337	0.2372592101
338	0.2371776785
339	0.2370611738
340	0.2367562341
341	0.2365073285
342	0.2362235874
343	0.2359682442
344	0.2357211955
345	0.2354818251
346	0.2349421509
347	0.2344440137
348	0.2342121779
349	0.2340400901
350	0.233899867
351	0.2337127685
352	0.2335643744
353	0.2335270458
354	0.2333417932
355	0.2328787756
356	0.2327701834
357	0.2326126823
358	0.2324977677
359	0.2322964883
360	0.2321682698
361	0.231979406
362	0.2315019871
363	0.2312216206
364	0.23088608
365	0.2307553589
366	0.2306267667
367	0.2304347245
368	0.2301255286
369	0.2298415193
370	0.2297374836
371	0.2295472761
372	0.2291944935
373	0.228816383
374	0.2287339299
375	0.2285214447
376	0.2284145136
377	0.2281804542
378	0.2279304039
379	0.2277083121
380	0.2276231802
381	0.2274943345
382	0.2273726301
383	0.227180569
384	0.2270003486
385	0.2268304439
386	0.2263111398
387	0.2261979288
388	0.226012591
389	0.2259093484
390	0.2255439944
391	0.2254756273
392	0.2253641198
393	0.2250607865
394	0.2247931391
395	0.2246389735
396	0.224503333
397	0.2242717273
398	0.2240181593
399	0.2237270164
400	0.2236802251
401	0.2235426759
402	0.2233263151
403	0.2232217927
404	0.2229313932
405	0.2226703703
406	0.2223833472
407	0.2222798716
408	0.2220990172
409	0.2219979241
410	0.2219547829
411	0.2219099265
412	0.2216795998
413	0.2216783814
414	0.2214815483
415	0.2214266499
416	0.2212278273
417	0.2208988088
418	0.2207949798
419	0.2206381109
420	0.2205723833
421	0.2204482127
422	0.2203466718
423	0.220155689
424	0.2200220484
425	0.2199049544
426	0.2198139031
427	0.2196426927
428	0.2195881474
429	0.2194621322
430	0.2194242407
431	0.2192011667
432	0.21892309
433	0.2187107651
434	0.2184180312
435	0.2182042994
436	0.2180278571
437	0.217920057
438	0.2177683265
439	0.2175051735
440	0.2171983515
441	0.216997494
442	0.2167091285
443	0.21657753
444	0.2163734768
445	0.2162188865
446	0.2160591975
447	0.2159885668
448	0.2157360739
449	0.215600345
450	0.2155002713
451	0.2153286681
452	0.2152332366
453	0.2150009858
454	0.2148450218
455	0.2148324048
456	0.2147297366
457	0.2143675664
458	0.2141495531
459	0.2140904956
460	0.2139615827
461	0.21384151
462	0.2137640216
463	0.2137084051
464	0.2135026892
465	0.213392956
466	0.2132949112
467	0.2131003399
468	0.2128354022
469	0.212760862
470	0.2124254006
471	0.2123164793
472	0.2120799163
473	0.2119806175
474	0.2118729219
475	0.2116666833
476	0.2115448316
477	0.2113929367
478	0.2112789869
479	0.2111477547
480	0.2109736432
481	0.210844099
482	0.2106117966
483	0.2105804097
484	0.2105095841
485	0.2102405715
486	0.2099752984
487	0.2098415822
488	0.2096512526
489	0.2092930775
490	0.2092122083
491	0.2089483161
492	0.208727971
493	0.2085466272
494	0.2083289025
495	0.2080677669
496	0.2079414278
497	0.2077732203
498	0.2076427824
499	0.2073119414
